date,price,volume
2025-11-07 00:00:00+00:00,103372.40625,92168030081
2025-11-08 00:00:00+00:00,102282.1171875,51446691095
2025-11-09 00:00:00+00:00,104719.640625,59679243013
2025-11-10 00:00:00+00:00,105996.59375,69585887229
2025-11-11 00:00:00+00:00,102997.46875,71130078574
2025-11-12 00:00:00+00:00,101663.1875,64347179408
2025-11-13 00:00:00+00:00,99697.4921875,101546815416
2025-11-14 00:00:00+00:00,94397.7890625,114346441890
2025-11-15 00:00:00+00:00,95549.1484375,38500716654
2025-11-16 00:00:00+00:00,94177.078125,71086235862
2025-11-17 00:00:00+00:00,92093.875,94186165724
2025-11-18 00:00:00+00:00,92948.875,101333569062
2025-11-19 00:00:00+00:00,91465.9921875,80350354656
2025-11-20 00:00:00+00:00,86631.8984375,97970645638
2025-11-21 00:00:00+00:00,85090.6875,129157506112
2025-11-22 00:00:00+00:00,84648.359375,40793099246
2025-11-23 00:00:00+00:00,86805.0078125,58083435576
2025-11-24 00:00:00+00:00,88270.5625,74433896110
2025-11-25 00:00:00+00:00,87341.890625,64837343545
2025-11-26 00:00:00+00:00,90518.3671875,66496301869
2025-11-27 00:00:00+00:00,91285.375,57040622845
2025-11-28 00:00:00+00:00,90919.265625,60895830289
2025-11-29 00:00:00+00:00,90851.7578125,37921773455
2025-11-30 00:00:00+00:00,90394.3125,38497902869
2025-12-01 00:00:00+00:00,86321.5703125,87962894424
2025-12-02 00:00:00+00:00,91350.203125,78546798211
2025-12-03 00:00:00+00:00,93527.8046875,77650204986
2025-12-04 00:00:00+00:00,92141.625,64538402681
2025-12-05 00:00:00+00:00,89387.7578125,63256398633
2025-12-06 00:00:00+00:00,89272.375,37994042405
2025-12-07 00:00:00+00:00,90405.640625,47394898960
2025-12-08 00:00:00+00:00,90640.203125,57394099056
2025-12-09 00:00:00+00:00,92691.7109375,66861721440
2025-12-10 00:00:00+00:00,92020.9453125,65420694513
2025-12-11 00:00:00+00:00,92511.3359375,64532834621
2025-12-12 00:00:00+00:00,90270.4140625,80275884583
2025-12-13 00:00:00+00:00,90298.7109375,64237748110
2025-12-14 00:00:00+00:00,88175.1796875,50465972205
2025-12-15 00:00:00+00:00,86419.78125,45559514323
2025-12-16 00:00:00+00:00,87843.984375,41262178223
2025-12-17 00:00:00+00:00,86143.7578125,44243392914
2025-12-18 00:00:00+00:00,85462.5078125,52667115348
2025-12-19 00:00:00+00:00,88103.3828125,46733310561
2025-12-20 00:00:00+00:00,88344.0,14688196659
2025-12-21 00:00:00+00:00,88621.75,19845522660
2025-12-22 00:00:00+00:00,88490.015625,38047472118
2025-12-23 00:00:00+00:00,87414.0,43683011533
2025-12-24 00:00:00+00:00,87611.9609375,25550297986
2025-12-25 00:00:00+00:00,87234.7421875,19953216347
2025-12-26 00:00:00+00:00,87301.4296875,42455674908
2025-12-27 00:00:00+00:00,87802.15625,13741199310
2025-12-28 00:00:00+00:00,87835.8359375,15156557929
2025-12-29 00:00:00+00:00,87138.140625,48411625849
2025-12-30 00:00:00+00:00,88430.1328125,35586356225
2025-12-31 00:00:00+00:00,87508.828125,33830210616
2026-01-01 00:00:00+00:00,88731.984375,18849043990
2026-01-02 00:00:00+00:00,89944.6953125,46398906171
2026-01-03 00:00:00+00:00,90603.1875,20774828592
2026-01-04 00:00:00+00:00,91413.4921875,26770491368
2026-01-05 00:00:00+00:00,93882.5546875,53376407252
2026-01-06 00:00:00+00:00,93729.03125,52430605257
2026-01-07 00:00:00+00:00,91308.0546875,43461295053
2026-01-08 00:00:00+00:00,91027.125,42386697030
2026-01-09 00:00:00+00:00,90513.1015625,38305906684
2026-01-10 00:00:00+00:00,90386.6484375,12385895282
2026-01-11 00:00:00+00:00,90827.4609375,17165568977
2026-01-12 00:00:00+00:00,91192.9921875,41346275358
2026-01-13 00:00:00+00:00,95321.78125,54980674354
2026-01-14 00:00:00+00:00,96929.328125,60592490863
2026-01-15 00:00:00+00:00,95551.1875,53086363027
2026-01-16 00:00:00+00:00,95525.1171875,33248170537
2026-01-17 00:00:00+00:00,95099.921875,16021715122
2026-01-18 00:00:00+00:00,93634.4296875,20809781232
2026-01-19 00:00:00+00:00,92553.59375,39195241508
2026-01-20 00:00:00+00:00,88310.90625,53072968031
2026-01-21 00:00:00+00:00,89376.9609375,56330422434
2026-01-22 00:00:00+00:00,89462.453125,35549685694
2026-01-23 00:00:00+00:00,89503.875,38997586037
2026-01-24 00:00:00+00:00,89110.734375,14558687712
2026-01-25 00:00:00+00:00,86572.21875,36124986722
2026-01-26 00:00:00+00:00,88267.140625,45329286974
2026-01-27 00:00:00+00:00,89102.5703125,38744942267
2026-01-28 00:00:00+00:00,89184.5703125,39807419296
2026-01-29 00:00:00+00:00,84561.5859375,64653083162
2026-01-30 00:00:00+00:00,84128.65625,72083816087
2026-01-31 00:00:00+00:00,78621.1171875,70479259159
2026-02-01 00:00:00+00:00,76974.4453125,53372509744
2026-02-02 00:00:00+00:00,78688.765625,75140589684
2026-02-03 00:00:00+00:00,75633.546875,68249110822
2026-02-04 00:00:00+00:00,73019.703125,67215363944
2026-02-05 00:00:00+00:00,62702.09765625,125509410908
2026-02-06 00:00:00+00:00,70555.390625,114674259489
2026-02-07 00:00:00+00:00,69281.96875,62347107663
2026-02-08 00:00:00+00:00,70264.7265625,39721722619
2026-02-09 00:00:00+00:00,70120.78125,52081598792
2026-02-10 00:00:00+00:00,68793.9609375,40593063077
2026-02-11 00:00:00+00:00,66991.96875,49671946030
2026-02-12 00:00:00+00:00,66221.84375,44651071271
2026-02-13 00:00:00+00:00,68857.84375,40820775886
2026-02-14 00:00:00+00:00,69767.625,36012397645
2026-02-15 00:00:00+00:00,68788.1875,40191152750
2026-02-16 00:00:00+00:00,68843.15625,33618145426
2026-02-17 00:00:00+00:00,67494.21875,34866936040
2026-02-18 00:00:00+00:00,66425.3203125,33094301643
2026-02-19 00:00:00+00:00,66957.5234375,31492987019
